display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
A N Bach Institute of Biochemistry,2013,facility,91,2227,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2014,facility,97,2388,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2015,facility,136,2543,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2016,facility,105,2546,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2017,facility,107,2847,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2018,facility,123,3099,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2019,facility,133,3436,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2020,facility,147,4112,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2021,facility,137,4467,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2022,facility,131,4787,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2023,facility,135,4867,Moscow,"c(37.577812, 55.7108)",Moscow City
A N Bach Institute of Biochemistry,2024,facility,43,2219,Moscow,"c(37.577812, 55.7108)",Moscow City
A. N. Kosygin Moscow State Textile University,2012,education,53,121,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2013,education,33,146,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2014,education,2,184,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2015,education,1,147,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2016,education,1,126,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2017,education,21,127,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2018,education,31,187,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2019,education,47,203,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2020,education,41,258,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2021,education,74,232,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2022,education,61,260,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2023,education,45,220,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Kosygin Moscow State Textile University,2024,education,19,88,Moscow,"c(37.597645, 55.717937)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2012,facility,381,5630,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2013,facility,426,6578,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2014,facility,420,6933,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2015,facility,457,7045,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2016,facility,469,7902,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2017,facility,513,8659,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2018,facility,536,9214,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2019,facility,557,10045,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2020,facility,566,11783,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2021,facility,562,13218,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2022,facility,534,13714,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2023,facility,526,13994,Moscow,"c(37.57504, 55.700134)",Moscow City
A. N. Nesmeyanov Institute of Organoelement Compounds,2024,facility,160,5473,Moscow,"c(37.57504, 55.700134)",Moscow City
A.E. Arbuzov Institute of Organic and Physical Chemistry,2012,facility,159,1095,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2013,facility,195,1460,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2014,facility,222,1776,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2015,facility,271,1950,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2016,facility,290,2341,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2017,facility,225,2367,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2018,facility,270,3288,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2019,facility,275,3243,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2020,facility,279,3693,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2021,facility,288,4104,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2022,facility,311,5106,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2023,facility,324,4920,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Arbuzov Institute of Organic and Physical Chemistry,2024,facility,95,2258,Kazan’,"c(49.186058, 55.81407)",Tatarstan
A.E. Favorsky Irkutsk Institute of Chemistry,2012,facility,223,1348,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2013,facility,230,1557,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2014,facility,196,1659,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2015,facility,218,1710,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2016,facility,201,1725,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2017,facility,203,1890,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2018,facility,180,2099,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2019,facility,182,2079,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2020,facility,186,2422,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2021,facility,177,2681,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2022,facility,165,2960,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2023,facility,223,3413,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.E. Favorsky Irkutsk Institute of Chemistry,2024,facility,46,1060,Irkutsk,"c(104.26883, 52.243)",Irkutsk
A.M. Obukhov Institute of Atmospheric Physics,2012,facility,93,1118,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2013,facility,112,1463,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2014,facility,123,1550,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2015,facility,137,1673,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2016,facility,126,1797,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2017,facility,159,1983,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2018,facility,192,2333,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2019,facility,292,2824,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2020,facility,257,3352,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2021,facility,246,3505,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2022,facility,228,3558,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2023,facility,265,4332,Moscow,"c(37.632378, 55.774788)",Moscow City
A.M. Obukhov Institute of Atmospheric Physics,2024,facility,34,1419,Moscow,"c(37.632378, 55.774788)",Moscow City
A.P. Karpinsky Russian Geological Research Institute,2012,facility,55,568,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2013,facility,64,707,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2014,facility,64,817,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2015,facility,48,855,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2016,facility,59,893,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2017,facility,92,1062,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2018,facility,90,1103,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2019,facility,151,1263,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2020,facility,98,1445,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2021,facility,130,1756,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2022,facility,131,1766,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2023,facility,104,1690,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Karpinsky Russian Geological Research Institute,2024,facility,33,832,Saint Petersburg,"c(30.23782, 59.925514)",City of St. Petersburg
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2012,company,4,21,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2013,company,3,29,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2014,company,6,34,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2015,company,11,21,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2016,company,24,24,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2017,company,19,19,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2018,company,15,33,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2019,company,23,48,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2020,company,18,61,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2021,company,24,88,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2022,company,9,116,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2023,company,6,131,Moscow,"c(37.572475, 55.809174)",Moscow City
A.P. Krylov All-Russian Oil and Gas Research Institute (Russia),2024,company,0,67,Moscow,"c(37.572475, 55.809174)",Moscow City
A.V. Shubnikov Institute of Crystallography,2012,facility,213,4496,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2013,facility,241,4819,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2014,facility,202,5028,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2015,facility,230,5092,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2016,facility,232,5054,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2017,facility,234,5133,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2018,facility,266,5748,Moscow,"c(37.577793, 55.7108)",Moscow City
A.V. Shubnikov Institute of Crystallography,2019,facility,303,5712,Moscow,"c(37.577793, 55.7108)",Moscow City
