display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
Institute of Practical Psychology and Psychoanalysis,2022,education,40,93,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2023,education,23,121,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Practical Psychology and Psychoanalysis,2024,education,3,48,Moscow,"c(37.644363, 55.82152)",Moscow City
Institute of Precambrian Geology and Geochronology,2012,facility,62,611,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2013,facility,57,771,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2014,facility,62,944,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2015,facility,61,1052,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2016,facility,55,1126,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2017,facility,75,1347,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2018,facility,82,1346,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2019,facility,127,1607,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2020,facility,93,1906,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2021,facility,94,2160,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2022,facility,97,2093,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2023,facility,147,2043,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precambrian Geology and Geochronology,2024,facility,29,724,Saint Petersburg,"c(30.302847, 59.944527)",City of St. Petersburg
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2013,facility,1,0,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2015,facility,4,1,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2016,facility,0,2,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2017,facility,0,1,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2018,facility,4,2,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2019,facility,1,3,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2020,facility,2,6,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2021,facility,3,10,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2022,facility,2,11,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2023,facility,0,4,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Computer Science S.A. Lebedev,2024,facility,0,2,Moscow,"c(37.566067, 55.698963)",Moscow City
Institute of Precision Mechanics and Control,2012,facility,35,185,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2013,facility,35,236,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2014,facility,35,285,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2015,facility,55,432,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2016,facility,58,536,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2017,facility,58,450,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2018,facility,100,684,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2019,facility,88,1026,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2020,facility,90,990,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2021,facility,83,1222,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2022,facility,67,1145,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2023,facility,49,1148,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Precision Mechanics and Control,2024,facility,3,357,Saratov,"c(46.021008, 51.525715)",Saratov
Institute of Problems of Chemical Physics,2012,facility,317,3556,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2013,facility,354,4026,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2014,facility,358,4472,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2015,facility,380,4602,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2016,facility,518,5098,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2017,facility,444,5456,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2018,facility,522,6100,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2019,facility,545,6634,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2020,facility,543,7435,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2021,facility,581,8568,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2022,facility,506,8915,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2023,facility,461,9221,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Chemical Physics,2024,facility,86,3182,Chernogolovka,"c(38.366657, 56.000023)",Moskva
Institute of Problems of Mechanical Engineering,2012,facility,134,1233,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2013,facility,139,1546,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2014,facility,160,1700,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2015,facility,240,1789,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2016,facility,232,1985,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2017,facility,296,2368,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2018,facility,288,2890,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2019,facility,269,3328,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2020,facility,299,3471,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
Institute of Problems of Mechanical Engineering,2021,facility,289,3482,Saint Petersburg,"c(30.268806, 59.935738)",City of St. Petersburg
